num__open,num__low,num__close,num__volume,num__marketCap,num__volatility,sensitive__day,sensitive__day_of_week,sensitive__month,sensitive__year,sensitive__high_time,sensitive__low_time
-0.7970239469154542,-0.7980333451571412,-0.7979072674771602,-0.9026985785756438,-0.7856239148995724,-0.6752008998397527,1.0,3.0,1.0,2015.0,0.0,23.0
-0.7974138920445162,-0.7980610374948046,-0.7978592129383998,-0.9027081188522448,-0.7855849349631283,-1.0075288025730746,2.0,4.0,1.0,2015.0,20.0,1.0
-0.7973668360606462,-0.8001148144793837,-0.7999427512090534,-0.9013416871091215,-0.7870879009030455,1.60718815105571,3.0,5.0,1.0,2015.0,0.0,23.0
-0.7994343598732015,-0.8015987336309122,-0.8009791189378079,-0.9001173046066563,-0.7878338956020557,1.5331786331774797,4.0,6.0,1.0,2015.0,10.0,15.0
-0.8004197757954962,-0.8011263064409871,-0.8003482893387384,-0.9007500489438351,-0.7873739459491897,0.1001050070978482,5.0,0.0,1.0,2015.0,8.0,0.0
-0.7998352877898962,-0.8006450285854549,-0.799629331034344,-0.9018736809186486,-0.7868499301834045,0.2060622587415218,6.0,1.0,1.0,2015.0,22.0,10.0
-0.7991318389318974,-0.7999885511577653,-0.7991292813998957,-0.9017857574257674,-0.7864845323605905,0.2239554980544454,7.0,2.0,1.0,2015.0,19.0,1.0
-0.7986374730678468,-0.8000457090534255,-0.7998036237863594,-0.9020506668800145,-0.786969498554407,-0.1420042036542597,8.0,3.0,1.0,2015.0,0.0,14.0
-0.7993584689230485,-0.8001495263769901,-0.799370408130217,-0.9021192169402528,-0.7866526734104771,-0.2246475318531998,9.0,4.0,1.0,2015.0,20.0,2.0
-0.7990566220021222,-0.8005647319974003,-0.800328528506311,-0.9023065675796088,-0.787343328743364,0.0814316829854668,10.0,5.0,1.0,2015.0,4.0,14.0
-0.7998354712732182,-0.8011291524692834,-0.8008892109896822,-0.9021473008244144,-0.7877463458155842,0.1817469301414092,11.0,6.0,1.0,2015.0,2.0,20.0
-0.8003546223644386,-0.8011189723707949,-0.8007581238715675,-0.9021104468281076,-0.7876482284575191,-0.5136058578404784,12.0,0.0,1.0,2015.0,14.0,10.0
-0.8002780555216277,-0.8039827405843805,-0.8033317068134563,-0.8991836264270584,-0.7895121600037015,3.4897256974846766,13.0,1.0,1.0,2015.0,0.0,23.0
-0.8029468176823551,-0.8070426368080061,-0.8062626516086029,-0.8978388325085511,-0.7916358814142989,4.86409283322828,14.0,2.0,1.0,2015.0,0.0,22.0
-0.8058301224021023,-0.8067020366838203,-0.8043146822750473,-0.8986993123057627,-0.7902200506214175,6.442516419005984,15.0,3.0,1.0,2015.0,13.0,0.0
-0.8038562818054338,-0.8052558008763857,-0.8044218966369728,-0.901050619181852,-0.7902955108144375,1.5077876315834853,16.0,4.0,1.0,2015.0,11.0,17.0
-0.8039321119065242,-0.8055653561380611,-0.8049642304448413,-0.9018615318455468,-0.790686970061476,0.9053197328732824,17.0,5.0,1.0,2015.0,3.0,9.0
-0.8044096665789464,-0.8055886868167694,-0.8042843031088639,-0.9015027328357346,-0.7901906692456815,1.9363308250675504,18.0,6.0,1.0,2015.0,12.0,7.0
-0.8037089793322281,-0.8047786328786579,-0.8040067852445738,-0.9021224874273424,-0.7899866057602012,-0.0426579479057704,19.0,0.0,1.0,2015.0,21.0,7.0
-0.8036208792518121,-0.8049155171919612,-0.8042244053681504,-0.9018299984924156,-0.7901426767675334,0.0320383134247934,20.0,1.0,1.0,2015.0,2.0,13.0
-0.8037146841658308,-0.8045324292420182,-0.8032681260401413,-0.9015114378635596,-0.7894450844171681,0.835798587239536,21.0,2.0,1.0,2015.0,22.0,13.0
-0.8027365064734967,-0.8035699999139008,-0.8028686635564017,-0.9013151001643246,-0.7891521933872659,0.0108462720856586,22.0,3.0,1.0,2015.0,2.0,0.0
-0.8023564385514101,-0.8036482743747333,-0.8029010064447748,-0.901799050898166,-0.7891733640624856,-0.1249465461202923,23.0,4.0,1.0,2015.0,20.0,3.0
-0.8024065622641481,-0.8033431444458676,-0.8019824086699799,-0.9017903295992606,-0.7885028657663984,0.8291180479065392,24.0,5.0,1.0,2015.0,23.0,2.0
-0.8015076493684226,-0.8024663236487816,-0.8016221007652188,-0.9013130337371584,-0.7882382329289208,-0.0240872244894619,25.0,6.0,1.0,2015.0,22.0,13.0
-0.8010949429456043,-0.8018221121206508,-0.8004097219104751,-0.8973422773283144,-0.7873534448056235,4.441985470686917,26.0,0.0,1.0,2015.0,7.0,0.0
-0.7999238784073617,-0.8020387247811029,-0.8010233059645783,-0.9007263907934466,-0.7877967823811728,1.1586630200185963,27.0,1.0,1.0,2015.0,0.0,10.0
-0.8005260968934991,-0.8035313055061929,-0.802837426607904,-0.900728929081934,-0.7891140219500972,2.6882139863646737,28.0,2.0,1.0,2015.0,0.0,22.0
-0.8023668062954413,-0.8039317802771137,-0.8028620972140186,-0.901387300370187,-0.7891288782416832,0.8019648943281716,29.0,3.0,1.0,2015.0,2.0,12.0
-0.8024021446222444,-0.8036076195841461,-0.8032970930494001,-0.9016914719405876,-0.7894431646420377,0.6976539231347898,30.0,4.0,1.0,2015.0,6.0,23.0
-0.8027905572910825,-0.8042101652580753,-0.8038470363977992,-0.901868121632966,-0.7898408358834648,0.7714998923863564,31.0,5.0,1.0,2015.0,10.0,23.0
-0.8033779295422284,-0.8044816589915531,-0.8032635234199417,-0.9015546158863116,-0.7894127825676021,1.1406153335021405,1.0,6.0,2.0,2015.0,21.0,14.0
-0.8027874895622146,-0.8038086794235466,-0.8025726724696033,-0.9014741499717852,-0.7889061725660849,1.0364531796328476,2.0,0.0,2.0,2015.0,23.0,6.0
-0.8021149005400587,-0.8036933544981242,-0.8032453573509328,-0.9009224735790944,-0.7893942699801102,1.1469708641926395,3.0,1.0,2.0,2015.0,11.0,21.0
-0.8027249114506952,-0.8039064265064273,-0.8032708267434229,-0.9016920631231627,-0.7894099183161213,-0.1768341572226138,4.0,2.0,2.0,2015.0,20.0,7.0
-0.8027154639317128,-0.8043103155465439,-0.803868701020027,-0.9019132359142432,-0.789843257155913,1.612357432621796,5.0,3.0,2.0,2015.0,13.0,16.0
-0.8033744939105703,-0.8042150343783433,-0.8035523338573699,-0.9018091606625684,-0.7896092523221766,0.5095422415711897,6.0,4.0,2.0,2015.0,15.0,10.0
-0.8030241811798093,-0.803811967309789,-0.8032155316229092,-0.9019627108449731,-0.789360474915055,-0.3002760532826368,7.0,5.0,2.0,2015.0,10.0,0.0
-0.8027137461158806,-0.8039087033290618,-0.8034820031987272,-0.9022045533314068,-0.7895526070487768,-0.2440689287612508,8.0,6.0,2.0,2015.0,11.0,15.0
-0.8029777992163172,-0.8041652751914862,-0.8036846495894586,-0.9016271415137748,-0.7896977455665218,-0.3883952087631463,9.0,0.0,2.0,2015.0,8.0,14.0
-0.8031684168602873,-0.804271937578591,-0.8037012808274443,-0.9019892381291432,-0.7897073098989017,-0.4338015106975746,10.0,1.0,2.0,2015.0,21.0,7.0
-0.8032021600055298,-0.8040985710416036,-0.8037414177357304,-0.9022014780972778,-0.7897338294492815,-0.5666087819863053,11.0,2.0,2.0,2015.0,2.0,20.0
-0.8032343079692056,-0.8041276555212408,-0.8035831419147074,-0.9023097187454444,-0.7896160021264318,-0.6533564838825592,12.0,3.0,2.0,2015.0,23.0,7.0
-0.8030649182226276,-0.8038970066351584,-0.8027446334771082,-0.9008161312235998,-0.7890001971795432,1.0213617756704276,13.0,4.0,2.0,2015.0,15.0,3.0
-0.8022330619293939,-0.8029950211594377,-0.8014009811519788,-0.9004371181086757,-0.7880142816481088,1.4746547246502262,14.0,5.0,2.0,2015.0,23.0,0.0
-0.8008846326728861,-0.8034909671553607,-0.8027815789856748,-0.9000672276459646,-0.7890215196576424,2.619252664167907,15.0,6.0,2.0,2015.0,9.0,20.0
-0.8022761917445561,-0.8034063706526997,-0.8028418447487152,-0.9016074860490778,-0.7890626178687014,-0.0371673480114124,16.0,0.0,2.0,2015.0,9.0,1.0
-0.8023622669554122,-0.8031982304737634,-0.8022424365775257,-0.9016503657686954,-0.7886209807414799,0.298414778241539,17.0,1.0,2.0,2015.0,17.0,0.0
-0.8017267949249481,-0.8031965865306391,-0.8026894610306994,-0.9017676422899816,-0.7889450541575385,0.0703013045615795,18.0,2.0,2.0,2015.0,3.0,19.0
-0.8021789502627454,-0.8029909749754816,-0.8024466168628485,-0.90214352051015,-0.7887639665074536,-0.419459340365517,19.0,3.0,2.0,2015.0,19.0,3.0
-0.8019433015044588,-0.8027565953804483,-0.802232064528436,-0.9018394574136162,-0.7886036998594321,-0.3540325872304078,20.0,4.0,2.0,2015.0,9.0,2.0
